title,url,ctime,label_type,label_property,label_article,code,company,industry
中国平安：平安银行股份有限公司2019年第一季度报告,https://news.10jqka.com.cn/tapp/notice.html#seq=18909823,1556035202,公告,,,601318,中国平安,保险
中国平安关于2019年度核心人员持股计划完成股票购买的公告,https://news.10jqka.com.cn/tapp/notice.html#seq=18511403,1553788802,公告,,,601318,中国平安,保险
核心指标均略超预期，回购方案落地带来股价支撑,https://news.10jqka.com.cn/m18372189_sr/,1553038058,研报,,,601318,中国平安,保险
Comment on Ping An Insurance’s 2018 annual reports,https://news.10jqka.com.cn/m18375037_sr/,1552980645,研报,,,601318,中国平安,保险
五家上市险企首季净利平均增长70% 险资重仓股曝光,https://m.jiemian.com/article/3095805.html,1556875083,新闻,中性,"50006559_险资,50001228_银行业",601319,中国人保,--
投资收益大增 三险企首季净利接近去年全年,https://news.10jqka.com.cn/m611191039/,1556702048,新闻,利好,"50010083_投资收益,50005450_净利润",601319,中国人保,--
“保险五雄”一季报成绩亮眼 秘籍在此,https://news.10jqka.com.cn/m611190913/,1556692830,新闻,中性,"50025087_保险,50000425_一季报",601319,中国人保,--
投资端回暖 A股五大上市险企一季报迎“开门红”,http://www.bjnews.com.cn/finance/2019/04/30/574401.html,1556624529,新闻,中性,"50010488_A股市场,50000425_一季报",601319,中国人保,--
2019年一季报点评：财险市占率升至36%，寿险收获转型成效,https://news.10jqka.com.cn/m19187593_sr/,1556610699,研报,,,601319,中国人保,--
中国人保(601319)04月30日14:30大单揭秘,https://news.10jqka.com.cn/m611169525/,1556606718,新闻,,50008101_大单揭秘,601319,中国人保,--
2018年上市公司业绩强者恒强,https://news.10jqka.com.cn/m611161161/,1556580385,新闻,中性,"50006702_业绩上升,50005449_营业收入",601319,中国人保,--
中国人保2019年第一季度报告,https://news.10jqka.com.cn/tapp/notice.html#seq=19143085,1556553602,公告,,,601319,中国人保,--
中国人保一季度净利润增长超10%,https://news.10jqka.com.cn/m611153678/,1556539094,新闻,中性,"50006702_业绩上升,50000425_一季报",601319,中国人保,--
【财闻联播】雷军拿99亿上市奖 却号召员工放弃年终奖？平安一季度净利大增77% 四大上市险企业绩爆发,http://t.10jqka.com.cn/m/zhibo/pid_105814679.shtml,1556537931,新闻,中性,"50001108_雷军,50005450_净利润",601319,中国人保,--
去年八成上市公司投资赚了 中国人寿最会“投”赚超千亿,http://www.bjnews.com.cn/finance/2019/04/29/573686.html,1556495287,新闻,中性,"50004171_中国人寿,50010083_投资收益",601319,中国人保,--
赵湘怀：保险股的业绩有望逐季改善 保险行业将持续价值增长,http://t.10jqka.com.cn/m/zhibo/pid_105720758.shtml,1556331996,新闻,中性,"50025087_保险,50001229_保险业",601319,中国人保,--
中国人保（601319）个股主力机构活跃度动向解读,https://news.10jqka.com.cn/m611099381/,1556260437,新闻,,50030648_AI解读,601319,中国人保,--
人保宁夏分公司推出23项车险特色服务,https://news.10jqka.com.cn/m611068334/,1556171456,新闻,中性,"50005908_汽车保险,50025087_保险",601319,中国人保,--
中国人保与银河证券签署战略合作协议,https://news.10jqka.com.cn/m611068198/,1556169483,新闻,利好,"50007616_战略合作,50000279_签订协议",601319,中国人保,--
中国人保财险大同违法遭罚20万 未履行反洗钱义务,https://news.10jqka.com.cn/m611050433/,1556100614,新闻,利空,"50013285_洗钱,50031828_中国人保",601319,中国人保,--
中国人保2018年承保政策性医保项目2009个 覆盖7.4亿人,https://m.jiemian.com/article/3071331.html,1556093911,新闻,中性,"50031828_中国人保,50020070_中国人保",601319,中国人保,--
中国人保发布2018企业社会责任报告,https://news.10jqka.com.cn/m611040325/,1556087828,新闻,中性,"50020070_中国人保,50031828_中国人保",601319,中国人保,--
上市险企首季保费开门红 天安财险国华人寿拖后腿,https://news.10jqka.com.cn/m611033145/,1556066328,新闻,中性,"50025087_保险,50008949_保费收入",601319,中国人保,--
险企差异化战略效果显现：2019年“开门红”更具“含金量”,https://news.10jqka.com.cn/m611033094/,1556065523,新闻,利好,"50025087_保险,50024731_寿险",601319,中国人保,--
前三月保费收入同比增长10% 上市险企一季报表现或超预期,https://news.10jqka.com.cn/m611033092/,1556065453,新闻,利好,"50008949_保费收入,50000425_一季报",601319,中国人保,--
中国人保发布首个支持IPv6的数字化产品,https://news.10jqka.com.cn/m611020003/,1556011310,新闻,中性,,601319,中国人保,--
保险 期货本身就是一个金融工具 未来需回归产业分析,https://news.10jqka.com.cn/m611016739/,1556006225,新闻,中性,50001203_保险,601319,中国人保,--
26股基金一季度持股占流通盘超两成 6股连续四季增持(名单),https://news.10jqka.com.cn/m611012274/,1555996545,新闻,中性,"50019248_流通盘,50013312_农林牧渔",601319,中国人保,--
人社部回应2035养老保险金将用光：能长期按时足额发,https://news.10jqka.com.cn/m611011976/,1555989503,新闻,,50001155_保险,601319,中国人保,--
深沪两市最新股权质押情况一览,https://news.10jqka.com.cn/m611006561/,1555979391,新闻,利空,50000751_新股,601319,中国人保,--
小家电“代工厂”登辉控股 能否在港交所博得自有“名牌”,https://news.10jqka.com.cn/m611002489/,1555933035,新闻,中性,50001036_家用电器,601319,中国人保,--
国元农业保险合肥违法拒不赔偿 支公司副总遭罚,https://news.10jqka.com.cn/m610985911/,1555912889,新闻,利空,50001229_保险,601319,中国人保,--
昆仑健康3家新股东进场 一半股权“易主”,https://news.10jqka.com.cn/m610981646/,1555896888,新闻,利空,50000751_新股,601319,中国人保,--
郑商所：“保险 期货” 支持资金已达5000万 未来将继续扩大试点范围,https://news.10jqka.com.cn/m610978865/,1555832864,新闻,,50025087_保险,601319,中国人保,--
投资收益新动向：380股赚超亿元 254股投资收益超净利润,http://t.10jqka.com.cn/m/zhibo/pid_105301983.shtml,1555811902,新闻,中性,"50010083_投资收益,50005450_净利润",601319,中国人保,--
金融科技差异化探索初见成效 机构打响B端服务市场“抢夺战”,https://news.10jqka.com.cn/m610976558/,1555680073,新闻,中性,"50005350_金融科技,50001091_小米",601319,中国人保,--
人保投控高层频调整  总裁职位依旧空缺,https://news.10jqka.com.cn/m610964452/,1555665646,新闻,利空,50026904_另类投资,601319,中国人保,--
A股上市险企一季度原保费出炉：寿险增速改善 财险高开低走,https://news.10jqka.com.cn/m610964241/,1555665476,新闻,中性,"50024731_寿险,50006946_高开低走",601319,中国人保,--
35家公司连续9年高比例分红 这些公司最新股息率完胜余额宝（名单）,https://news.10jqka.com.cn/m610956145/,1555655628,新闻,中性,50000276_新股,601319,中国人保,--
保险股又大涨！保险指数年内涨幅近50% 一季报数据透露大涨底气 三大业务板块全线发力,http://t.10jqka.com.cn/m/zhibo/pid_105243062.shtml,1555650997,新闻,中性,"50001229_保险业,50025087_保险",601319,中国人保,--
A股大金融车轮战：保险发力 中国人寿涨幅超4%,https://m.21jingji.com/article/20190419/herald/77c7374c2c39a5cdfbfc446ee72d8120.html,1555642028,新闻,利好,"50025087_保险,50004171_中国人寿",601319,中国人保,--
A股7上市险企1季度揽9342亿保费 券商：双利好估值有望继续提升,https://news.10jqka.com.cn/m610949912/,1555634261,新闻,中性,"50010488_A股市场,50001229_保险业",601319,中国人保,--
上市险企首季开门红 “保费+净利”有望双回暖,https://news.10jqka.com.cn/m610949403/,1555628277,新闻,中性,"50025087_保险,50005450_净利润",601319,中国人保,--
承保加投资双支撑 险企一季净利增幅料超预期,https://news.10jqka.com.cn/m610949369/,1555628033,新闻,利好,"50005450_净利润,50001229_保险业",601319,中国人保,--
上市险企业绩超预期！受益股市小阳春 这两个指标也有望回暖,https://news.10jqka.com.cn/m610948707/,1555598763,新闻,中性,"50009777_业绩超预期,50025087_保险",601319,中国人保,--
分析师：不要忽视市场风险 是时候配置黄金“保险”了,https://news.10jqka.com.cn/m610927486/,1555567640,新闻,中性,50005899_保险,601319,中国人保,--
监管对保险中介机构的整治已经开始 车险隐形费用渐成“堰塞湖”,https://news.10jqka.com.cn/m610924839/,1555555498,新闻,中性,50001229_保险,601319,中国人保,--
五大A股上市险企一季度保费超9000亿元 中国人保夺下“增速一哥”,https://news.10jqka.com.cn/m610918855/,1555543360,新闻,中性,"50010488_A股市场,50031828_中国人保",601319,中国人保,--
A股五大上市险企一季度合计实现保费收入9110.7亿元,https://news.10jqka.com.cn/m610917544/,1555508688,新闻,,"50010488_A股市场,50004171_中国人寿",601319,中国人保,--
新华保险逆市涨逾2% 创近14个月高位,https://news.10jqka.com.cn/m610901830/,1555479697,新闻,,"50004142_新华保险,50006214_人民币(CNY)",601319,中国人保,--
4家上市险企一季度保费超5000亿元 券商预计上市险企一季度净利润将大增,https://news.10jqka.com.cn/m610895039/,1555454738,新闻,中性,"50005450_净利润,50000425_一季报",601319,中国人保,--
4家上市险企首季保费超5000亿元 券商预计归母公司净利普遍大增,https://news.10jqka.com.cn/m610893568/,1555417300,新闻,中性,"50005450_净利润,50004171_中国人寿",601319,中国人保,--
高盛上调中国人保投资评级,https://news.10jqka.com.cn/m610867893/,1555377417,新闻,中性,"50004978_高盛集团,50031828_中国人保",601319,中国人保,--
业绩面纱尚未掀开 保险股便逆势上涨 背后有惊喜,https://news.10jqka.com.cn/m610866103/,1555369512,新闻,中性,"50025087_保险,50001229_保险业",601319,中国人保,--
房地产投资小火苗烧得正旺：去年五险企投资房地产规模850亿,https://m.21jingji.com/article/20190415/herald/770a287e21b2f3c70a8e0ff7b882d446.html,1555332983,新闻,中性,"50001227_房地产,50010575_房地产投资",601319,中国人保,--
保险：保险业2019年一季报前瞻,https://mp.weixin.qq.com/s?__biz=MzAxNjg0OTk3Nw==&mid=2247500986&idx=1&sn=b9358b32f0b3d13e2e1e445272ba053b&chksm=9bec09ecac9b80fa067c3552503026627d7b9e8b222d34a1b2e0719a1d63113524df82e6a8c3&scene=0&xtrack=1,1555314547,新闻,中性,"50001229_保险业,50025087_保险",601319,中国人保,--
费用支出增长拖累业绩表现，寿险价值转型效果显现,https://news.10jqka.com.cn/m18519053_sr/,1553838024,研报,,,601319,中国人保,--
2018年报点评：非车增速迅猛，人身险价值提升明显,https://news.10jqka.com.cn/m18492451_sr/,1553666245,研报,,,601319,中国人保,--
2018年报点评：投资收益优于同业，寿险转型增长可期,https://news.10jqka.com.cn/m18452569_sr/,1553476983,研报,,,601319,中国人保,--
2018年报点评：非车险带动产险稳健增长，寿险坚定高质量转型战略,https://news.10jqka.com.cn/m18452059_sr/,1553473442,研报,,,601319,中国人保,--
2019年1月保费收入数据点评：首月业绩创新高，持续性尚待观察,https://news.10jqka.com.cn/m18037165_sr/,1550834492,研报,,,601319,中国人保,--
长阴洗盘 看了这组数据你就不怕了！,https://news.10jqka.com.cn/m611173675/,1556615871,推广,,,601326,秦港股份,港口
秦港股份(601326)04月30日14:30大单揭秘,https://news.10jqka.com.cn/m611168680/,1556606619,新闻,,50008101_大单揭秘,601326,秦港股份,港口
秦港股份2019年第一季度报告,https://news.10jqka.com.cn/tapp/notice.html#seq=19090679,1556294402,公告,,,601326,秦港股份,港口
财报速递：秦港股份一季度净利1.18亿 同比下降66%,https://news.10jqka.com.cn/m611118297/,1556290357,新闻,,50000272_定期报告,601326,秦港股份,港口
秦港股份H股公告-2018年年度报告,https://news.10jqka.com.cn/tapp/notice.html#seq=18904411,1556035202,公告,,,601326,秦港股份,港口
“一带一路”倡议下的港口发展与思考交流研讨会举行 分享发展经验 共铸蓝色梦想,https://news.10jqka.com.cn/m611006579/,1555979498,新闻,中性,50001225_港口航运,601326,秦港股份,港口
雄安新区召开党工委委员（扩大）会议 提升政治站位强化责任担当 高质量高标准推进新区规划建设,https://news.10jqka.com.cn/m610978713/,1555822460,新闻,中性,50000367_雄安新区,601326,秦港股份,港口
投资约26亿元 雄安新区容东片区又一项目发布比选公告,https://news.10jqka.com.cn/m610955532/,1555645784,新闻,中性,50000367_雄安新区,601326,秦港股份,港口
秦港股份：公司制定“离岗等退”政策的初衷是为落实本公司转型升级发展战略 优化本公司人力资源结构 提高企业劳动生产率和人均创利水平 减少人工成本的低效、无效损耗 ,https://news.10jqka.com.cn/m610948290/,1555594422,新闻,中性,___,601326,秦港股份,港口
国防科工局将研究出台支持雄安新区发展高技术政策措施,https://news.10jqka.com.cn/m610901842/,1555479783,新闻,中性,50000367_军工,601326,秦港股份,港口
4月16日华南港口甲醇最新动态,https://news.10jqka.com.cn/m610877225/,1555401019,新闻,中性,50001225_港口航运,601326,秦港股份,港口
雄安新区：一枚印章管审批 打造服务型政府,https://news.10jqka.com.cn/m610872021/,1555383636,新闻,中性,50000367_雄安新区,601326,秦港股份,港口
菜鸟宣布到全球134个港口接货 平均成本节约10%,https://news.10jqka.com.cn/m610848807/,1555311994,新闻,中性,50001225_港口航运,601326,秦港股份,港口
秦港股份2019年第一季度业绩预减公告,https://news.10jqka.com.cn/tapp/notice.html#seq=18695163,1554998402,公告,,,601326,秦港股份,港口
秦港股份预计2019年一季度净利润同比下降63%至68%,https://news.10jqka.com.cn/m610799010/,1554979337,新闻,,"50007692_秦港股份,50005929_业绩下降",601326,秦港股份,港口
秦港股份一季度净利预减63%-68%,https://news.10jqka.com.cn/m610797651/,1554978398,新闻,利空,"50007692_秦港股份,50005450_净利润",601326,秦港股份,港口
秦港股份：虽然公司目前未在雄安新区开展港口相关业务 但非常关注雄安新区的建设发展,https://news.10jqka.com.cn/m610758075/,1554880008,新闻,,"50000367_雄安新区,50007692_秦港股份",601326,秦港股份,港口
秦港股份2019年首3个月吞吐量总计约9194万吨 降0.13%,https://news.10jqka.com.cn/m610745087/,1554813541,新闻,利空,"50007692_秦港股份,50007514_港股",601326,秦港股份,港口
秦港股份2018年年度董事会经营评述,https://news.10jqka.com.cn/m610520969/,1553698886,新闻,,"50019237_经营评述,50007514_港股",601326,秦港股份,港口
北上资金恢复净买入 主力资金却净流出逾700亿元,https://news.10jqka.com.cn/m610485223/,1553599269,新闻,中性,"50028656_主力资金,50000445_资产收购",601326,秦港股份,港口
【龙虎榜】 秦港股份 03月26日成交明细,https://news.10jqka.com.cn/m610472298/,1553587991,新闻,,50004784_龙虎榜,601326,秦港股份,港口
行业整合提速 港口板块持续活跃,https://news.10jqka.com.cn/m610467395/,1553579499,新闻,中性,"50001225_港口航运,50003528_营口港",601326,秦港股份,港口
秦港股份(03369.HK)连续3日股价异动 无未披露重大事项,https://news.10jqka.com.cn/m610824022/,1553273340,新闻,利空,"50007692_秦港股份,50005905_异动股",601326,秦港股份,港口
涨停股揭秘：习近平在意大利媒体发表署名文章指出，愿同意方共建“一带一路”、拓宽务实合作领域 秦港股份封涨停,https://news.10jqka.com.cn/m610400311/,1553221809,新闻,,50000091_涨停股揭秘,601326,秦港股份,港口
涨停股揭秘：习近平在意大利媒体发表署名文章指出，愿同意方共建“一带一路”、拓宽务实合作领域 秦港股份封涨停,https://news.10jqka.com.cn/m610379105/,1553144776,新闻,,50000091_涨停股揭秘,601326,秦港股份,港口
油运运价淡季维持高位 集运指数环比下降,https://mp.weixin.qq.com/s?__biz=MzI3MjAwODc2NQ==&mid=2651576680&idx=1&sn=676592361c110ef9ffa927eacb7786d7&chksm=f0c66a3ac7b1e32c23cb1311d4828b9c5dc4db52766f848332541b858e88f0a311a3bd167677&scene=0&xtrack=1,1552283132,新闻,中性,"50000438_快递物流,50037197_甬舟铁路",601326,秦港股份,港口
涨停股揭秘：次新板块大涨 秦港股份封涨停,https://news.10jqka.com.cn/m610111380/,1551934933,新闻,,50000091_涨停股揭秘,601326,秦港股份,港口
秦港股份拟于2019年度启动新一轮“离岗等退”工作 计提离岗等退费不超3.23亿元,https://news.10jqka.com.cn/m609993378/,1551351011,新闻,中性,50007692_秦港股份,601326,秦港股份,港口
