__label__2 , 赫斯基 首季 盈利 增胜 预期
__label__2 , 李 泽钜 接手 屈臣氏 前有 丝芙兰 腾讯 阿里 争买 股份 最大 赢家
__label__2 , 东兴证券 年 月 十大 金股
__label__2 , 李 泽钜 接棒 一年 长 和系 继续 全球 收购
__label__1 , 杰富瑞 淡马锡 售 屈臣氏 持股 长和 净资产 将升
__label__2 , 长和 去年 多赚 派息 增若 淡马锡 售 屈臣氏 会 支持
__label__2 , 李 泽钜 谈长 和系 投资 逻辑 盈利 质素
__label__2 , 长和 执行 董事 霍建宁 支持 淡马锡 出售 部分 屈臣氏 股权
__label__2 , 长和 去年 盈利 亿港元 同比 升
__label__2 , 李泽巨 培养 长女 入长 和系
__label__1 , 大摩 传 腾讯 竞购 屈臣氏 长和 目标价 上行 空间
__label__2 , 李 泽钜 香港 楼市 很难 预测 会 在意 盈利 质量
__label__2 , 长和 年度 股东 应 占 溢利 增至 亿港元 末期 息 每股 港元
__label__2 , 长和 年 净利 亿港元 同比 增长
__label__2 , 里昂 升 长和 目标价 至元 评级 跑 赢大 市
__label__2 , 大摩 予 长和 评级 增持 目标价 元
__label__3 , 美银 美林 下调 长和 目标价 至元 重申 买入 评级
__label__2 , 长和 旗下 欧洲集团 联手 西班牙 电信 大型企业 提供 数位 通讯 解决方案
__label__2 , 春节 成 互联网 下沉 竞技场 四大天王 已然 崛起
__label__2 , 吸引 万达 万科 碧桂园 保利 纷纷 转战 大健康 究竟 来头
__label__2 , 赫斯基 决定 不再 收购 主要 市场 环境 有变
__label__2 , 中电控股 业绩 增长 依赖 内地 重 核电 布局 享 大湾区 发展 红利
__label__3 , 万科 绿城 房企 内部 架构 巨变 调整 阵痛 显现
__label__2 , 韧性 足 中电控股 年 再度 起航
__label__3 , 中电控股 李 锐波 退任 董事
__label__3 , 大和 调低 中电 目标价 港元 评级 降至 跑 输 大市
__label__2 , 大摩 中电 盈利 符合 预期 重申 大市 同步 评级
__label__2 , 中电控股 燃料 价格 波动 年底 政府 审视 电价 水平
__label__3 , 中电控股 年度 总 盈利 减少 亿港元 每股 派息 港元
__label__2 , 中电控股 年度 营运 盈利 升 内地 核电 业务 贡献 升
__label__2 , 大和 降 中电 目标价 港元 维持 持有 评级
__label__2 , 大和 予 中电控股 目标价 港元 评级 持有
__label__2 , 港股 沽空 统计 月 日
__label__3 , 花旗 澳洲政府 要降 电价 预计 中电控股 盈利 构成 影响
__label__2 , 中 金首 予 中电 持有 评级 目标价 港元
__label__3 , 汇丰 公用 股荐 长建 长和 电能 评级 降至 持有
__label__2 , 中电控股 前 月 总 售电量 同比 增至 亿度 每股 派息 港元
__label__3 , 中电 受 电力 影响 客户 缩减 至名
__label__2 , 中电控股 破顶 倒 跌 中电 印度 引入基金 策略性 股东
__label__2 , 资金 流入 公用 股 避险 中电控股 升近 暂为 最佳 蓝筹
__label__3 , 瑞信 中电控股 目标价 元 维持 跑 输 大市 投资 评级
__label__2 , 国君 香港中华煤气 维持 买入 评级 目标价 港元
__label__3 , 小摩 维持 煤气 减持 目标价 元
__label__3 , 李兆基 年事已高 考虑 退任 香港中华煤气 主席 一职
__label__2 , 香港中华煤气 年度 股东 应 占 溢利 增至 亿港元 每股 派息 港仙
__label__2 , 大和 升 煤气 目标价 港元 评级 跑 赢大 市
__label__2 , 香港中华煤气 独 董梁 希文 于月 日 离世
__label__2 , 煤气 防守 性强 中线 看元
__label__2 , 中华煤气 佛山 水务 环保 公司 注资 亿元 人民币
__label__2 , 中华煤气 获 独立 非 执董 李国宝 增持 万股
