code,company,label_property,title,url,article,website
HK0001,长和,中性,淡马锡要卖屈臣氏股份？李嘉诚长子这么说,https://m.21jingji.com/article/20190321/herald/44805fcca1d89943ca2bc4261b5e84f6.html,,21jingji
HK0001,长和,中性,长和系海外豪买资产 最大海外收购项目遭否决 李嘉诚长子佛系表态“从无志在必得”,https://m.21jingji.com/article/20190321/herald/7a63b21c2f1680a3e3a02e8f7b68be71.html,,21jingji
HK0008,电讯盈科,中性,香港虚拟银行来了！渣打、携程金融等共组财团已招100人,https://m.21jingji.com/article/20190403/herald/474725ed7a8bc1c809401ea83ee34969.html,,21jingji
HK0011,恒生银行,中性,恒生中国行长宋跃升谈粤港澳大湾区金融互联互通：可借鉴欧盟 牌照相互认同,https://m.21jingji.com/article/20190330/herald/b1b40ee5bae207c991b564ef177a0f0b.html,,21jingji
HK0175,吉利汽车,中性,对话路特斯集团全球CEO冯擎峰：吉利如何打造中国的“保时捷”,https://m.21jingji.com/article/20190422/herald/29e8954acee2be5d07ac6df217b7363b.html,,21jingji
HK0322,康师傅控股,中性,“康师傅”变“康帅傅”？农村假货频出  人大代表建言“正品下乡”,https://m.21jingji.com/article/20190302/herald/e4949e50633282410337e0e99fd4c80e.html,,21jingji
HK0337,绿地香港,中性,加拿大Brookfield基金拟整购绿地香港上海五里桥综合体,https://m.21jingji.com/article/20190401/herald/673162ce27762c6fe428e44d7ec29ec5.html,,21jingji
HK0386,中国石油化工股份,利好,中石化进军电商3年：年交易额近3000亿,https://m.21jingji.com/article/20190418/herald/f278beac1ec7f9d65725661148fb98f2.html,,21jingji
HK0410,SOHO中国,利空,潘石屹赢了！套用风水迷信称望京SOHO“冲煞”  自媒体被判赔20万,https://m.21jingji.com/article/20190410/herald/97566f2e5a816b090c9b45366bd655d7.html,,21jingji
HK0493,国美零售,中性,迫不及待！华南国美联手粤家电商会率先启动节能补贴,https://m.21jingji.com/article/20190401/herald/4d224be8a72a4d05c26cb9dd6923c2e8.html,,21jingji
HK0493,国美零售,中性,定了！国美零售：黄光裕明年出狱回归,https://m.21jingji.com/article/20190401/herald/522986f76a06decf6b541301d81803fc.html,,21jingji
HK0536,贸易通,中性,国贸数字化综合服务平台中国运行基地落地广州南沙,https://m.21jingji.com/article/20190418/herald/04268ea5c2b9cdc88748841ecc6d8f30.html,,21jingji
HK0566,汉能薄膜发电,中性,回A再进一步？汉能薄膜私有化进行时：已向股东发布计划安排通函,https://m.21jingji.com/article/20190426/herald/012eca3084569b122e3fe61d7689323a.html,,21jingji
HK0627,福晟国际,中性,营收利润大幅提升 福晟国际步入稳健增长期,https://m.21jingji.com/article/20190327/herald/f0cc02f7e275d4d4a9c36626d2a60deb.html,,21jingji
HK0656,复星国际,中性,万通保险立下＂小目标＂  马云现场买保单,https://m.21jingji.com/article/20190409/herald/d890ef1f973aac14a9ea8ba80823f593.html,,21jingji
HK0670,中国东方航空股份,中性,传美国要对伊朗再出手 能源期货暴涨民航板块暴跌！后续还有哪些事件影响油价,https://m.21jingji.com/article/20190422/herald/5891c942d617b9fb54d521e1b226401b.html,,21jingji
HK0688,中国海外发展,中性,央企地产商权杖交接 颜建国全面掌管3500亿市值中海集团,https://m.21jingji.com/article/20190324/herald/08b0040e8dd9e4781cf4c0433104d7f3.html,,21jingji
HK0708,恒大健康,中性,许家印摩拳擦掌！8.5亿底价广州再拿造车用地,https://m.21jingji.com/article/20190401/herald/44ff4296b07fce3d6e2e22833b7925cd.html,,21jingji
HK0708,恒大健康,中性,贾跃亭找到钱？FF与第九城市将合资 拟融资5亿美元,https://m.21jingji.com/article/20190323/herald/ee1a890610ef331f7bca533ba31765e6.html,,21jingji
HK0719,山东新华制药股份,中性,超级真菌肆掠：医药股“扬眉吐气” 抗菌概念闻风而动（附概念股名单）,https://m.21jingji.com/article/20190410/herald/ade162e45653929eaa1f2a5cb3faa1ae.html,,21jingji
HK0772,阅文集团,中性,阅文吴文辉：未来将继续推进上下游布局,https://m.21jingji.com/article/20190324/herald/a08f001eef2755b720b4bb775f23b0f7.html,,21jingji
HK0772,阅文集团,中性,阅文2018年营收50.3亿元 下个季度将上线免费阅读产品,https://m.21jingji.com/article/20190318/herald/f7ec694955704321a559e08cc1252085.html,,21jingji
HK0775,长江生命科技,中性,17年之后 李嘉诚长和系公司再度申请在香港主板上市,https://m.21jingji.com/article/20190416/herald/eac4b9989c5ebd96cdf767af685f4441.html,,21jingji
HK0817,中国金茂,中性,落子云迹科技：金茂资本的“地产私募+产业投资”逻辑,https://m.21jingji.com/article/20190330/herald/5fa16d1eedd59390114110c8ff98934e.html,,21jingji
HK0874,白云山,中性,国产“伟哥”四年销量翻3倍 壮阳药毛利超茅台成白云山摇钱树,https://m.21jingji.com/article/20190318/herald/54456a9a4adb9b782389a98e3b7808f8.html,,21jingji
HK0883,中国海洋石油,中性,中海油一季度未实现增储上产目标,https://m.21jingji.com/article/20190426/herald/0f53641aa78bdf1c051e8ec269271f0b.html,,21jingji
HK0941,中国移动,中性,上汽乘用车副总经理俞经民：上汽未来将是出行服务和产品的综合供应商,https://m.21jingji.com/article/20190422/herald/ba76cdedbbca3ac92b36297b1dc3110e.html,,21jingji
HK0980,联华超市,中性,家乐福2018年中国业务利润增长11倍,https://m.21jingji.com/article/20190301/herald/1341f9d68b212d321b8f41f1def4da60.html,,21jingji
HK0998,中信银行,中性,中信银行海外布子设点 “一带一路”沿线已有345家代理行,https://m.21jingji.com/article/20190423/herald/bf2f4330b25a78b5d0002c16b788d385.html,,21jingji
HK0998,中信银行,利空,宏图高科、中信银行遭交易商协会自律处分 因虚报兑付方案、违约事项未按期信批,https://m.21jingji.com/article/20190416/herald/8212aa01f3431cf7b910f24a318c884d.html,,21jingji
HK1055,中国南方航空股份,中性,国家发给航空公司60亿“大礼包” 后续文件或将很快出台,https://m.21jingji.com/article/20190404/herald/94028a7849b5bd0265d21345e2bd9ed3.html,,21jingji
HK1060,阿里影业,中性,阿里影业成为阿里集团子公司 资源整合程度成焦点,https://m.21jingji.com/article/20190306/herald/0dfd51afda5d8d267d2e6f8143152910.html,,21jingji
HK1060,阿里影业,中性,阿里大文娱新变局？阿里：“只是班委分工正常调整 去年底已宣布”,https://m.21jingji.com/article/20190222/herald/40fb06ad74347bb9e1af3bfe542f07b8.html,,21jingji
HK1070,TCL电子,中性,TCL也要推出5G手机 大约在2020年,https://m.21jingji.com/article/20190313/herald/17b811dd3a4f5536c63b75ba726eec5b.html,,21jingji
HK1114,BRILLIANCE CHI,中性,祁玉民谢幕！沈阳市副市长阎秉哲接任华晨汽车集团董事长,https://m.21jingji.com/article/20190401/herald/25eeda9936f5a6b47de2df232eb8f865.html,,21jingji
HK1114,BRILLIANCE CHI,中性,华晨汽车2018年纯利增长33%：华晨宝马贡献62亿元,https://m.21jingji.com/article/20190327/herald/9efbf78dcc88ee2f65a9cdc722b2335c.html,,21jingji
HK1157,中联重科,中性,智能制造战略延伸 中联重科拟在长沙建“智慧产业城”,https://m.21jingji.com/article/20190402/herald/6dc41c9382c3601ff7b3777525dada3b.html,,21jingji
HK1158,开元酒店,中性,第三次登陆资本市场 开元陈妙林详解集团发展方向,https://m.21jingji.com/article/20190311/herald/987c53635a45acceb815fcf29aa7f08a.html,,21jingji
HK1211,比亚迪股份,利空,A股车企一季报集体滑铁卢：仅两家新能源车企净利增长,https://m.21jingji.com/article/20190501/herald/ff6ca272508327f3184830566767aaa2.html,,21jingji
HK1216,中原银行,中性,解码中原银行2018年报：科技兴行成效凸显,https://m.21jingji.com/article/20190329/herald/bc03a1f9a207ba2566d24a1d956ffa1f.html,,21jingji
HK1216,中原银行,中性,中民投成立债委会 约120家银行机构参会,https://m.21jingji.com/article/20190225/herald/8b567427dba3094c7be0c8ee5e56cc3c.html,,21jingji
HK1333,中国忠旺,中性,中国忠旺：一季度收益大增74.1%至62亿元,https://m.21jingji.com/article/20190426/herald/63909e2c61822b8ec980986d04556af6.html,,21jingji
HK1336,新华保险,利好,三大保险公司一季度净利润暴增 A股添柴加火,https://m.21jingji.com/article/20190429/herald/24f5fd79598b4da1d40a2f8406307445.html,,21jingji
HK1339,中国人民保险集团,中性,房地产投资小火苗烧得正旺：去年五险企投资房地产规模850亿,https://m.21jingji.com/article/20190415/herald/770a287e21b2f3c70a8e0ff7b882d446.html,,21jingji
HK1349,复旦张江,利空,风险提示形同虚设！新“妖王”复旦复华八连板 游资大佬“赵老哥”昼伏夜出,https://m.21jingji.com/article/20190320/herald/be8b6de4191bf33dbbae4200e9c4ec96.html,,21jingji
HK1359,中国信达,中性,中国信达：集中资源做强不良主业 将通过这三方面发力提升效益,https://m.21jingji.com/article/20190329/herald/3edec4a6311340adec458d69b84288ca.html,,21jingji
HK1398,工商银行,中性,哪些行业最赚钱？增长最快？毛利率最高？8张图速读,https://m.21jingji.com/article/20190429/herald/f3937ebb09db4302b64abacf24f88234.html,,21jingji
HK1398,工商银行,中性,工商银行：已储备项目1.18万亿 今年贷款增量与去年相当,https://m.21jingji.com/article/20190430/herald/3d92ac1c15ca393519b5d55587ddf0eb.html,,21jingji
HK1398,工商银行,中性,宇宙行董事长补缺 中行陈四清将出任,https://m.21jingji.com/article/20190420/herald/56d5b865cae188deb8f7ac68d24a4eb7.html,,21jingji
HK1458,周黑鸭,中性,曾遭机构沽空的周黑鸭2018年成绩单：营收平稳净利润下滑,https://m.21jingji.com/article/20190328/herald/519d425c2f29949b806e446cb5689443.html,,21jingji
HK1462,金诚控股,利空,小镇幻影破灭？金诚集团十年“狂奔”涉非吸立案,https://m.21jingji.com/article/20190428/herald/f4d7561d43a9e9753e91046dda525840.html,,21jingji
HK1551,广州农商银行,利好,广州农商行2018年“成绩单”揭蛊 营收大增逾5成,https://m.21jingji.com/article/20190329/herald/baa0e9bf6a09f717b5e35e46f734a54c.html,,21jingji
HK1551,广州农商银行,中性,广州农商银行A股IPO申请获受理 去年收入暴增51%,https://m.21jingji.com/article/20190323/herald/016b2c9c82fc9401ea4d24f21b8f0d77.html,,21jingji
HK1598,21世纪教育,中性,出生率下降 幼儿园过剩与短缺并存  民办园发展黄金期要终结,https://m.21jingji.com/article/20190430/herald/046e7505419f9dfa67f3dff9657c0239.html,,21jingji
HK1628,禹洲地产,中性,林龙安：禹洲不是纯粹冲销量的企业,https://m.21jingji.com/article/20190330/herald/ee92fb632955be3b9bedb721f1573566.html,,21jingji
HK1638,佳兆业集团,中性,半个月内出售三个项目回笼60亿 阳光100加速转型,https://m.21jingji.com/article/20190416/herald/28f44c2c3365d674399e43e86426ccce.html,,21jingji
HK1658,邮储银行,中性,六大行规模争夺战：邮储突破10万亿！超过交行,https://m.21jingji.com/article/20190430/herald/72fde22d8a631fc014216ac9c986191a.html,,21jingji
HK1717,澳优,利好,澳优去年收入54亿元 增长37.3%,https://m.21jingji.com/article/20190319/herald/436bba76c419d5883e469e239cf953c0.html,,21jingji
HK1739,齐屹科技,中性,家居行业整合加速：好莱客、齐家网8000万港元交叉持股,https://m.21jingji.com/article/20190411/herald/50eee21967dcaf6c6147c44650f7c720.html,,21jingji
HK1739,齐屹科技,中性,齐家网启动赋能战略 应对互联网家装行业洗牌冲击,https://m.21jingji.com/article/20190401/herald/0f4bba978f4bcd39f06355dda7cabbf7.html,,21jingji
HK1761,宝宝树集团,中性,宝宝树上市后首个年报：全面二孩带来母婴红利 净利润达2亿,https://m.21jingji.com/article/20190328/herald/9902300aa2e7c755ec4d6436aff86c57.html,,21jingji
HK1776,广发证券,中性,汤晓东不缺下家：前脚辞任广发证券辞副总经理 后脚担任贝莱德中国区主管,https://m.21jingji.com/article/20190417/herald/b77d289f8802d84fca05ca438aa265b3.html,,21jingji
HK1798,大唐新能源,中性,惠誉：光伏发电运营商现金流、再融资难度大 一些发电厂可能需出售资产,https://m.21jingji.com/article/20190418/herald/366f00d5109417658596310bdf970541.html,,21jingji
HK1800,中国交通建设,中性,一家“泛非洲银行”上海落地 中企投资摩洛哥可搭哪些便捷,https://m.21jingji.com/article/20190423/herald/2d787f417eced3058c435d7e95a4524e.html,,21jingji
HK1801,信达生物-B,利空,信达生物肿瘤新药达伯舒上市 或再倒逼进口药降价,https://m.21jingji.com/article/20190222/herald/60ff595b58aecec9961e23a29a0caf4c.html,,21jingji
HK1810,小米集团-W,中性,“分销”模式争议下 会员电商云集抢跑IPO,https://m.21jingji.com/article/20190505/herald/f6f9c9e9c85c75a0cc7d39f1cae8c77e.html,,21jingji
HK1810,小米集团-W,中性,与董小姐对赌10亿败北？是什么拖了小米“雷布斯”的后腿,https://m.21jingji.com/article/20190429/herald/20a85061df5e2ae3943c486bbc2708ab.html,,21jingji
HK1810,小米集团-W,利好,定了！小米、美团7月加入港股通,https://m.21jingji.com/article/20190423/herald/70f4dfe9bac2f25baeb3831acb1b020c.html,,21jingji
HK1813,合景泰富集团,中性,发力粤港澳大湾区：合景泰富追求有质量的快速增长,https://m.21jingji.com/article/20190327/herald/032c7ee2715d41d964d33248ee56c882.html,,21jingji
HK1877,君实生物-B,中性,又一国产PD-1抗癌药价公布 不到进口药价一半！境外患者会组队来代购吗,https://m.21jingji.com/article/20190305/herald/2aa0c8c9dda0c566c1ce0196cb86d094.html,,21jingji
HK1886,汇源果汁,利空,36亿！汇源果汁“卖身”给天地壹号,https://m.21jingji.com/article/20190428/herald/4a073d17468090c57982832928b6d55d.html,,21jingji
HK1898,中煤能源,中性,本周年报抢先看：平安业绩将揭晓 联通混改红利初显,https://m.21jingji.com/article/20190311/herald/23b2436a6e5be6251de7614edae75854.html,,21jingji
HK1911,华兴资本控股,中性,华兴资本首份全年业绩报告 三大业务收入超2亿美元,https://m.21jingji.com/article/20190320/herald/880b425370a5f2c80bced835f358fea2.html,,21jingji
HK1918,融创中国,中性,开发商们的“好日子”就要结束了,https://m.21jingji.com/article/20190423/herald/b3bb09c150a6472aece4355cf3a20430.html,,21jingji
HK1963,重庆银行,中性,银行稳健发展能力谁家强？中银协发布银行业“陀螺”评价报告,https://m.21jingji.com/article/20190226/herald/566606e55bb26041fb24d8cf801fe2f0.html,,21jingji
HK1970,IMAX CHINA,中性,IMAX持续加码中国：单屏票房微降仍4倍于普通屏 待建影院272家,https://m.21jingji.com/article/20190227/herald/ced579744169531989dfec23647fdc67.html,,21jingji
HK1988,民生银行,利空,港股民生系股价全线下跌 不会影响在港金融牌照,https://m.21jingji.com/article/20190425/herald/0a83019284da7a03398c04720f174577.html,,21jingji
HK1988,民生银行,利空,民生涉嫌被香港监管调查后续丨绿地香港称创始人股票质押已解除 贷款已偿还,https://m.21jingji.com/article/20190425/herald/408acdda8f9f0625183e20a5c4f9db3d.html,,21jingji
HK1988,民生银行,利空,香港证监会、金管局出拳！ 民生银行或卷入“障眼法”放贷交易,https://m.21jingji.com/article/20190425/herald/60f5569b6fb33429ea42f8edd2c4560f.html,,21jingji
HK1992,复星旅游文化,利好,复星旅文Q1营业额增长11% 将进一步加码冰雪旅游市场,https://m.21jingji.com/article/20190426/herald/101ff85b28ae3bfa959c152304dfb025.html,,21jingji
HK1992,复星旅游文化,中性,复星旅文：2018年扭亏为赢 Club Med在中国还将快速扩张,https://m.21jingji.com/article/20190318/herald/1888d5d24e571d6756cf48539c08759c.html,,21jingji
HK1996,弘阳地产,中性,楼市小阳春 房企4月发布融资计划近1000亿,https://m.21jingji.com/article/20190410/herald/cab3b21de7da16632bce75237edd29a2.html,,21jingji
HK2007,碧桂园,利空,上市房企2018年成绩单：哪几家最赚钱？14家千亿房企负债率超80% 去化压力大,https://m.21jingji.com/article/20190503/herald/146e4166748a9252d4aafb2396ddfaf9.html,,21jingji
HK2016,浙商银行,利好,招行、光大同时获批“理财子公司” ！业务最全梳理戳这里,https://m.21jingji.com/article/20190419/herald/a311e615219cf00ca0704cd33ffd7a34.html,,21jingji
HK2016,浙商银行,利好,浙商银行：98.3%的业务由互联网实现 回A进度符合预期,https://m.21jingji.com/article/20190321/herald/e275a6aef20533f4ff9bc392fd6ae43c.html,,21jingji
HK2016,浙商银行,中性,这家银行有胆量！“过去互联网革银行的命 以后银行也会革互联网的命”,https://m.21jingji.com/article/20190321/herald/9b1436d7ac37a371a0021f7e03ca80d8.html,,21jingji
HK2019,德信中国,中性,集资14.9亿港元 2019年首家登陆港股房企德信中国市盈率创新低,https://m.21jingji.com/article/20190226/herald/f4d7dc948bdde8f9476691094d50a320.html,,21jingji
HK2020,安踏体育,中性,一只鞋仅有一包薯片的重量 安踏“价值零售”展现科技力量,https://m.21jingji.com/article/20190410/herald/3d1d345788386b35ce8ec8c068f0c999.html,,21jingji
HK2020,安踏体育,中性,12年赞助马拉松深耕跑步领域 特步转型见效进军高端市场,https://m.21jingji.com/article/20190312/herald/84a391a9c6fbba58e6e6b45b06acaae5.html,,21jingji
