code,company,label_property,title,url,article,website
HK0038,第一拖拉机股份,利空,“拖拉机老大”由盈转亏13亿 费用高达17亿拖累业绩,http://m.chinatimes.net.cn/article/85494.html,,chinatimes
HK0293,国泰航空,中性,老牌航空公司国泰翻身转型见效 2018年净利润23亿港元,http://m.chinatimes.net.cn/article/84819.html,,chinatimes
HK0410,SOHO中国,中性,当3G出现退网 5G“北京飚速”：北京移动年底五环内5G全覆盖,http://m.chinatimes.net.cn/article/84748.html,,chinatimes
HK0489,东风集团股份,中性,第四批混改试点以放为主 部分非主业或卖给民资,http://m.chinatimes.net.cn/article/85530.html,,chinatimes
HK0493,国美零售,中性,国美零售联手家乐福 将开200余家“店中店” 加速供应链输出转型,http://m.chinatimes.net.cn/article/85609.html,,chinatimes
HK0493,国美零售,中性,黄光裕离开十年后尚有两年出狱 国美“转型元年”账上百亿现金怎么用,http://m.chinatimes.net.cn/article/85406.html,,chinatimes
HK0566,汉能薄膜发电,中性,汉能私有化方案公告获香港证监会批准发布 确定将通过股权置换方式回购,http://m.chinatimes.net.cn/article/84257.html,,chinatimes
HK0612,中国鼎益丰,利空,实探中国鼎益丰总部 “玄学”投资到底靠不靠谱？,http://m.chinatimes.net.cn/article/85525.html,,chinatimes
HK0618,北大资源,利空,北大资源股东51%股权遭司法冻结 事涉集团10亿借款纠纷,http://m.chinatimes.net.cn/article/84933.html,,chinatimes
HK0628,国美金融科技,利空,美易理财停止运营 国美金融全面落后竞争对手,http://m.chinatimes.net.cn/article/85447.html,,chinatimes
HK0699,神州租车,中性,奔宝做局 大众滴滴出招 出行市场的新竞争逻辑,http://m.chinatimes.net.cn/article/84352.html,,chinatimes
HK0700,腾讯控股,中性,开放信号下 外资云反超胜算有多大,http://m.chinatimes.net.cn/article/86103.html,,chinatimes
HK0708,恒大健康,中性,许家印造车更懂车 恒大5亿掌控荷兰轮毂电机公司硬核技术,http://m.chinatimes.net.cn/article/84852.html,,chinatimes
HK0772,阅文集团,中性,科创板对标纳斯达克： 如何培育我们的“FAANG”五巨头,http://m.chinatimes.net.cn/article/85466.html,,chinatimes
HK0813,世茂房地产,中性,2018业绩强劲爆发 高增长世茂瞄准“中国领先的生活服务商”,http://m.chinatimes.net.cn/article/85205.html,,chinatimes
HK0817,中国金茂,中性,阳春三月楼市升温 市场预期悄然转变,http://m.chinatimes.net.cn/article/85892.html,,chinatimes
HK0884,旭辉控股集团,中性,旭辉领寓张爱华：继续向轻、重两端聚焦发展 升级租赁产品,http://m.chinatimes.net.cn/article/86145.html,,chinatimes
HK0931,中国天然气,中性,国家网管公司成立在即 中石油面临“得与失”：13.31万公里油气管网如何“大一统”,http://m.chinatimes.net.cn/article/85056.html,,chinatimes
HK0967,桑德国际,利空,起底桑德系财务风波：文一波离任会否上演格力银隆戏,http://m.chinatimes.net.cn/article/86134.html,,chinatimes
HK0981,中芯国际,中性,和舰芯片跻身“28纳米”俱乐部 如何击穿技术瓶颈面临实力大考,http://m.chinatimes.net.cn/article/85259.html,,chinatimes
HK0992,联想集团,利好,杨元庆谈联想变革方向 敲定新一财年增收50亿美元目标,http://m.chinatimes.net.cn/article/85868.html,,chinatimes
HK0998,中信银行,利空,不良贷款连升多年 中信银行风控成谜,http://m.chinatimes.net.cn/article/86161.html,,chinatimes
HK1070,TCL电子,中性,TCL王成划重点 5年营收欲破2000亿从哪捡钱,http://m.chinatimes.net.cn/article/84875.html,,chinatimes
HK1107,当代置业,利空,过度依赖北京大本营 京系房企业绩惨淡走向落寞,http://m.chinatimes.net.cn/article/85887.html,,chinatimes
HK1107,当代置业,中性,一成房企未完成年度目标 开发商谨慎制定今年任务,http://m.chinatimes.net.cn/article/84890.html,,chinatimes
HK1107,当代置业,中性,偿债高峰来临 房企开启花样融资,http://m.chinatimes.net.cn/article/84373.html,,chinatimes
HK1238,宝龙地产,中性,科技发展引发地产新变革 房地产行业智慧化市场空间巨大,http://m.chinatimes.net.cn/article/85313.html,,chinatimes
HK1299,友邦保险,中性,2035年养老金耗尽 80后将无钱养老？保诚集团等国外保险机构正排队入场,http://m.chinatimes.net.cn/article/85782.html,,chinatimes
