code,company,label_property,title,url,article,website
HK0168,青岛啤酒股份,中性,让世界品味中国“潮” 青岛啤酒经典1903复古装引爆潮流,http://www.cnr.cn/shanghai/shzx/jw/20190322/t20190322_524552225.shtml,,cnr
HK0207,大悦城地产,中性,从财报看大悦城的升级路,http://finance.cnr.cn/gundong/20190322/t20190322_524552732.shtml,,cnr
HK0338,上海石油化工股份,中性,上海石化投用国内首套原液着色腈纶在线环保处理装置,http://www.cnr.cn/shanghai/tt/20190129/t20190129_524497315.shtml,,cnr
HK0338,上海石油化工股份,利好,上海石化大丝束碳纤维技术“破炉而出” 跻身国际先进,http://www.cnr.cn/shanghai/tt/20180724/t20180724_524310224.shtml,,cnr
HK0383,中国医疗网络,利好,同方股份出资16亿元收购中国医疗网络H股40亿股,http://finance.cnr.cn/gundong/20170919/t20170919_523956030.shtml,,cnr
HK0511,电视广播,利好,《超高清行业发展行动计划》发布 5G+4K超高清产业跑步落地,http://finance.cnr.cn/gundong/20190409/t20190409_524571913.shtml,,cnr
HK0670,中国东方航空股份,中性,东航江苏公司以实际行动践行蓝天保卫战,http://js.cnr.cn/2011jsfw/shgj/20190416/t20190416_524579776.shtml,,cnr
HK0728,中国电信,利好,广东省政府与中国电信共建5G智慧城市群深圳启动,http://news.cnr.cn/native/city/20190428/t20190428_524593916.shtml,,cnr
HK0728,中国电信,中性,宁波列入中国电信5G扩大试点城市,http://zj.cnr.cn/zlfg/20190426/t20190426_524592018.shtml,,cnr
HK0762,中国联通,利好,中国联通与京东数字科技签署战略投资协议,http://www.cnr.cn/list/finance/20190505/t20190505_524600702.shtml,,cnr
HK0762,中国联通,中性,中国联通定点帮扶县和对口援藏县代表参加上海5G创新发展峰会,http://www.cnr.cn/shanghai/tt/20190424/t20190424_524589557.shtml,,cnr
HK0856,伟仕佳杰,中性,科大讯飞与伟仕佳杰达成合作 拓展AI新品渠道经营新模式,http://tech.cnr.cn/techgd/20190424/t20190424_524589229.shtml,,cnr
HK0909,中大国际,利好,中大与化州药企签订合作协议 推进广东道地中药材新药产业化发展,http://www.cnr.cn/gd/gdkx/20180510/t20180510_524228847.shtml,,cnr
HK0941,中国移动,中性,中国互联网月活跃用户规模突破11亿 小程序影响力持续发酵,http://www.cnr.cn/list/finance/20190424/t20190424_524589041.shtml,,cnr
HK0998,中信银行,中性,中国海创周持续提升区域双创生态,http://www.cnr.cn/chanjing/huodong/20190417/t20190417_524581605.shtml,,cnr
HK1057,浙江世宝,中性,2亿卖一幅画救一家上市公司,http://www.cnr.cn/list/finance/20181217/t20181217_524452497.shtml,,cnr
HK1211,比亚迪股份,中性,中国汽车工业协会：一季度我国新能源汽车产销量翻倍,http://china.cnr.cn/yaowen/20190503/t20190503_524599564.shtml,,cnr
HK1333,中国忠旺,中性,中国忠旺2018上半年收益人民币93.3亿元 每股派息0.1港币,http://finance.cnr.cn/gundong/20180824/t20180824_524341110.shtml,,cnr
HK1398,工商银行,中性,五大行一季度日赚超31亿元 中间业务回暖、不良率下降,http://finance.cnr.cn/gundong/20190430/t20190430_524597101.shtml,,cnr
HK1528,红星美凯龙,中性,中贸美凯龙今在沪揭牌 创新“展·店”办展模式,http://www.cnr.cn/shanghai/shzx/jw/20190227/t20190227_524524337.shtml,,cnr
HK1658,邮储银行,中性,邮储银行南城县支行：搭建银企合作平台 助力民营小微发展,http://jx.cnr.cn/caijing/zgyzyh/zhdt/20190419/t20190419_524583831.shtml,,cnr
HK1658,邮储银行,中性,江西邮储银行全面开启与省内各级人民政府签订战略合作协议新征程,http://jx.cnr.cn/caijing/zgyzyh/news/20190408/t20190408_524570901.shtml,,cnr
HK1717,澳优,中性,“诚信点亮星城”长沙3·15晚会直播 突出回应百姓关注,http://www.cnr.cn/hunan/xxtt/20190315/t20190315_524543890.shtml,,cnr
HK1766,中国中车,中性,“一带一路”建设中 哪些中国企业最具影响力,http://china.cnr.cn/news/20190425/t20190425_524589902.shtml,,cnr
HK1766,中国中车,利好,中车大连公司获8亿元高原机车订单,http://dl.cnr.cn/2011daliangaiban/daliantupianxinwen/20190325/t20190325_524554996.shtml,,cnr
HK1810,小米集团-W,中性,小米集团副总裁颜克胜：让用户深度参与品质管控全流程,http://tech.cnr.cn/techgd/20190422/t20190422_524586751.shtml,,cnr
HK1883,中信国际电讯,中性,国际范、广交友、不设限 中国联通全球产业链合作伙伴大会引人瞩目,http://www.cnr.cn/shanghai/tt/20190424/t20190424_524589558.shtml,,cnr
HK1992,复星旅游文化,中性,乡村医生健康扶贫项目周年展在三亚亚特兰蒂斯举办,http://www.cnr.cn/hn/jrhn/20190429/t20190429_524595683.shtml,,cnr
HK2048,易居企业控股,中性,多元化or not？上市房企站在转型十字路口,http://finance.cnr.cn/gundong/20190403/t20190403_524566639.shtml,,cnr
