index_col,stock_code,shortname,fullname,address,income,profit,number,comedate,book,report,industry,bussiness
1,HK0001,长和,长江和记实业有限公司,开曼群岛,--,--,288562,2015-03-18,--,,综合,从事港口及相关服务、零售、基建、能源以及电讯行业。
2,HK0002,中电控股,中电控股有限公司,香港,--,--,7542,1980-01-02,--,,电力,为香港、印度和澳洲的发电及供电业务，同时投资于中国内地、东南亚及台湾的电力项目。
3,HK0003,香港中华煤气,香港中华煤气有限公司,香港,--,--,2011,1960-04-11,--,,燃气,于香港及中国从事燃气生产、输送与销售、供水以及经营新兴环保能源业务；于香港从事物业发展及投资活动。
4,HK0004,九龙仓集团,九龙仓集团有限公司,香港,--,--,13300,1921-01-01,--,,地产投资,投资物业、发展物业、酒店、物流和通讯、媒体及娱乐。
5,HK0005,汇丰控股,汇丰控股有限公司,英国,--,--,228687,1980-01-02,--,,银行,提供全面之银行及有关之金融服务。国际网络遍布亚太区、欧洲、美洲、中东及非洲。
6,HK0006,电能实业,电能实业有限公司,香港,--,--,11,1976-08-16,--,,电力,发电及电力供应。
7,HK0007,香港金融集团,凯富能源集团有限公司,百慕达,--,--,297,2000-09-08,--,,其他金属矿物,天然资源及石化产品贸易；采矿、石油与天然气勘探及生产；提供金融服务；及物业投资。
8,HK0008,电讯盈科,电讯盈科有限公司,香港,--,--,23800,1994-10-18,--,,通信服务,提供电讯服务、互联网及多媒体服务、销售及租赁器材，及其他技术服务。投资及发展基建、物业及科技相关业务。
9,HK0009,九号运通,九号运通有限公司,百慕达,--,--,78,2001-09-12,--,,地产投资,电影发行及授权使用、电影菲林冲印、物业租务、物业和酒店发展以及投资集中供热业务。
10,HK0010,恒隆集团,恒隆集团有限公司,香港,--,--,4643,1972-10-12,--,,地产投资,"物业发展以供销售及租赁、投资物业以供收租之用、停车场管理及物业管理,以及经营干洗服务。"
11,HK0011,恒生银行,恒生银行有限公司,香港,--,--,9929,1972-06-20,--,,银行,从事银行业及有关之金融服务。
12,HK0012,恒基地产,恒基兆业地产有限公司,香港,--,--,7727,1981-07-23,--,,房地产,物业发展及投资、百货业务及管理、酒店业务及管理、建筑工程、财务借贷、项目管理、投资控股以及物业管理。
13,HK0014,希慎兴业,希慎兴业有限公司,香港,--,--,537,1981-09-18,--,,地产投资,物业投资、管理及发展。
14,HK0015,盈信控股,盈信控股有限公司,百慕达,--,--,419,2000-09-08,--,,房屋建筑,于香港承办公营及私营机构之建造、土木工程、保养及其他合约工程；物业投资及发展。
15,HK0016,新鸿基地产,新鸿基地产发展有限公司,香港,--,--,37000,1972-09-08,--,,地产投资,发展及投资地产物业以供出售及租赁之用、经营酒店、电讯、运输、基建及物流。
16,HK0017,新世界发展,新世界发展有限公司,香港,--,--,45000,1972-11-23,--,,房地产,从事物业投资及发展、合约工程、服务提供、基建项目经营、电讯服务、百货经营、酒店及餐厅经营、及电讯、媒体及科技业务。
17,HK0018,东方报业集团,东方报业集团有限公司,香港,--,--,1521,1987-08-18,--,,出版,报章出版业务。
18,HK0019,太古股份公司A,太古股份有限公司,香港,--,--,90000,1959-04-14,--,,综合,地产、航空、饮料、海洋服务和贸易及实业。
19,HK0020,会德丰,会德丰有限公司,香港,--,--,14200,1983-01-03,--,,房地产,投资物业、发展物业、酒店、物流和通讯、媒体及娱乐。
20,HK0021,大中华地产控股,大中华地产控股有限公司,香港,--,--,152,1988-12-30,--,,房地产,物业发展及投资。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
21,HK0022,茂盛控股,茂盛控股有限公司,百慕达,--,--,112,1972-12-14,--,,酒店,经营酒店。
22,HK0023,东亚银行,东亚银行有限公司,香港,--,--,9970,1921-01-01,--,,银行,提供银行及有关的金融服务。
23,HK0024,宝威控股,宝威控股有限公司,百慕达,--,--,283,1983-09-15,--,,钢铁,钢铁贸易、钢铁加工及矿产资源。
24,HK0025,CHEVALIER INT'L,其士国际集团有限公司,百慕达,--,--,3000,1984-12-05,--,,综合,建筑及机械工程、保险及投资、物业、餐饮、电脑及资讯通讯科技及其他。
25,HK0026,中华汽车,中华汽车有限公司,香港,--,--,--,1962-01-01,--,,地产投资,物业发展及投资。
26,HK0027,银河娱乐,银河娱乐集团有限公司,香港,--,--,20500,1991-10-07,--,,博彩,从事娱乐场幸运博彩或其他形式的博彩，提供酒店及有关服务、以及生产及分销建筑材料。
27,HK0028,天安,天安中国投资有限公司,香港,--,--,1977,1987-03-18,--,,房地产,在中国内地开发住宅、别墅、办公楼及商用物业、物业投资及物业管理，以及在香港之物业投资及物业管理。
28,HK0029,达力集团,达力集团有限公司,百慕达,--,--,50,1980-01-04,--,,地产投资,物业投资及发展。
29,HK0030,万隆控股集团,万隆控股集团有限公司,百慕达,--,--,25,1991-10-09,--,,综合,提供金融报价服务、发展无线应用、采矿业务、放债业务以及商品及日用品贸易业务。
30,HK0031,航天控股,中国航天国际控股有限公司,香港,--,--,7300,1981-08-25,--,,电子元器件,制造及分销注塑产品、液晶显示器、线路板、智能充电器、聚酰亚胺薄膜及其他产品；物业投资及电子产品贸易。
31,HK0032,港通控股,港通控股有限公司,香港,--,--,523,1974-07-30,--,,工用运输,经营驾驶学校、隧道、电子收费系统及投资。
32,HK0033,亚投金融集团,亚投金融集团有限公司,开曼群岛,--,--,90,2007-11-19,--,,其他金融,证券经纪及资产管理、放债业务、信用担保及投资业务，以及派对产品及金属与矿产贸易。
33,HK0034,九龙建业,九龙建业有限公司,香港,--,--,941,1995-07-04,--,,房地产,投资控股、物业发展、物业投资、物业管理及石油生产。
34,HK0035,远东发展,远东发展有限公司,开曼群岛,--,--,3700,1972-09-21,--,,房地产,物业发展及投资、酒店营运及管理、停车场营运及设施管理及财务管理。
35,HK0036,远东控股国际,远东控股国际有限公司,香港,--,--,93,1973-02-12,--,,服装,成衣制造及销售，短期证券投资及物业投资。
36,HK0037,远东酒店实业,远东酒店实业有限公司,香港,--,--,70,1979-07-03,--,,酒店,酒店营运；服务式物业出租；物业投资；证券投资及买卖。
37,HK0038,第一拖拉机股份,第一拖拉机股份有限公司,中国河南省,--,--,11082,1997-06-23,--,,重型机械,从事农业机械、动力机械等产品的研发、制造和销售
38,HK0039,中国北大荒,中国北大荒产业集团控股有限公司,开曼群岛,--,--,164,2001-01-16,--,,超市及便利店,零售及分销酒类；销售绿色食品；租赁物流及办公设施；放贷；灯光照明设备的销售和城市及道路照明工程承包；以及建筑工程施工总承包。
39,HK0040,金山工业,金山工业(集团)有限公司,香港,--,--,8530,1984-07-02,--,,消费电子,研发、生产及推广电子产品及扬声器、汽车配线及其他业务；电池及电池相关产品；持有经营销售及推广业务的其他投资。
40,HK0041,鹰君,鹰君集团有限公司,百慕达,--,--,6591,1972-10-26,--,,地产投资,物业发展及投资、经营酒店及酒楼、房地产投资信托之管理人、建筑材料贸易、证券投资、提供物业管理、保修及代理服务、物业租赁及资产管理。
序号,股票代码,股票简称,公司名称,注册地址,主营业务收入(201904),净利润(201904),员工人数,上市日期,招股书,公司财报,行业分类,主营业务
41,HK0042,东北电气,东北电气发展股份有限公司,中国辽宁省,--,--,540,1995-07-06,--,,电子元器件,电力电容器及封闭母线等系统保护及传输设备的制造和营销
42,HK0043,卜蜂国际,卜蜂国际有限公司,百慕达,--,--,34000,1988-04-28,--,,饲料,产销动物饲料产品，繁殖、养殖、畜牧及销售禽畜和水产，及加工增值制造食品产品。
43,HK0044,香港飞机工程,香港飞机工程有限公司,香港,--,--,5997,1965-06-08,--,,航空运输,商用飞机大修、改装及维修业务。
