title,url,ctime,label_type,label_property,label_article,code,company,industry
央行：2019年要深入推进央行数字货币研发,https://news.10jqka.com.cn/m609856754/,1550819790,新闻,,"50008258_数字货币,50001130_人民银行",300561,汇金科技,行业应用软件
汇金科技：成为兴业银行自助机具动态电子密码锁项目采购单位,https://news.10jqka.com.cn/m609669703/,1550044089,新闻,利好,50003158_汇金科技,300561,汇金科技,行业应用软件
汇金科技预计2018年全年净利润同比下降55%至85%,https://news.10jqka.com.cn/m609526119/,1548837224,新闻,,"50003158_汇金科技,50005929_业绩下降",300561,汇金科技,行业应用软件
汇金科技财务负责人马晓丽辞职,https://news.10jqka.com.cn/m609382420/,1548204846,新闻,利空,"50003158_汇金科技,50000290_高管变更",300561,汇金科技,行业应用软件
汇金科技：原财务负责人马晓丽辞职 孙玉玲任财务总监,https://news.10jqka.com.cn/m609357053/,1548113023,新闻,利空,"50000290_高管变更,50000614_财务总监变更",300561,汇金科技,行业应用软件
漂亮开局！28只去年腰斩股已涨超20% 最牛股竟是它,http://t.10jqka.com.cn/m/zhibo/pid_101465271.shtml,1547683452,新闻,中性,"50028656_主力资金,50034919_均线",300561,汇金科技,行业应用软件
50家上市公司本周解禁市值692亿,https://news.10jqka.com.cn/m610819776/,1544981700,新闻,利空,"50000644_限售股解禁,50014705_限售股",300561,汇金科技,行业应用软件
冰火两重天 业绩增长股逆势上扬！,https://news.10jqka.com.cn/m611171560/,1556612048,推广,,,300562,乐心医疗,医疗器械
乐心医疗(300562)04月30日14:30大单揭秘,https://news.10jqka.com.cn/m611168069/,1556606546,新闻,,50008101_大单揭秘,300562,乐心医疗,医疗器械
04月26日机构调研一览,https://news.10jqka.com.cn/m611125502/,1556497812,新闻,,"50000286_机构调研,50000606_投资者关系活动",300562,乐心医疗,医疗器械
医疗器械行业现状分析,https://news.10jqka.com.cn/m611012715/,1556001160,新闻,中性,50005123_医疗器械,300562,乐心医疗,医疗器械
乐心医疗2019年一季度董事会经营评述,https://news.10jqka.com.cn/m610978151/,1555761031,新闻,,"50019237_经营评述,50003159_乐心医疗",300562,乐心医疗,医疗器械
乐心医疗：2019年第一季度报告全文,https://news.10jqka.com.cn/tapp/notice.html#seq=18837135,1555689602,公告,,,300562,乐心医疗,医疗器械
财报速递：乐心医疗一季度净利246.65万 同比下降21%,https://news.10jqka.com.cn/m610966111/,1555667047,新闻,,50000272_定期报告,300562,乐心医疗,医疗器械
乐心医疗：将重点加大智能可穿戴产品研发力度和推出速度,https://news.10jqka.com.cn/m610951656/,1555638942,新闻,利好,"50003159_乐心医疗,50000466_智能穿戴",300562,乐心医疗,医疗器械
乐心医疗：2019年 公司将聚焦于为行业优质客户提供健康智能硬件+软件整体解决方案,https://news.10jqka.com.cn/m610945120/,1555587058,新闻,中性,___,300562,乐心医疗,医疗器械
乐心医疗：我们认为目前股价未体现公司实际价值,https://news.10jqka.com.cn/m610941907/,1555584416,新闻,中性,___,300562,乐心医疗,医疗器械
乐心医疗：公司现在正积极推进募投项目的建设 产能将会有大幅提升 且主要于服务行业优质客户,https://news.10jqka.com.cn/m610935131/,1555578780,新闻,中性,___,300562,乐心医疗,医疗器械
医疗器械行业发展趋势分析,https://news.10jqka.com.cn/m610931198/,1555571978,新闻,中性,50005123_医疗器械,300562,乐心医疗,医疗器械
2018年营收超3.2亿元 医疗器械公司普门科技获科创板受理,https://news.10jqka.com.cn/m610919094/,1555547080,新闻,中性,50005123_医疗器械,300562,乐心医疗,医疗器械
乐心医疗：关于2018年度利润分配预案的公告,https://news.10jqka.com.cn/tapp/notice.html#seq=18727771,1555084802,公告,,,300562,乐心医疗,医疗器械
乐心医疗：关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告,https://news.10jqka.com.cn/tapp/notice.html#seq=18727789,1555084802,公告,,,300562,乐心医疗,医疗器械
乐心医疗：2018年年度报告,https://news.10jqka.com.cn/tapp/notice.html#seq=18727793,1555084802,公告,,,300562,乐心医疗,医疗器械
乐心医疗：2018年年度报告摘要,https://news.10jqka.com.cn/tapp/notice.html#seq=18727863,1555084802,公告,,,300562,乐心医疗,医疗器械
财报速递：乐心医疗去年全年净利2401.59万 同比增长35%,https://news.10jqka.com.cn/m610834544/,1555073596,新闻,,50000272_定期报告,300562,乐心医疗,医疗器械
乐心医疗预计2019年一季度净利润同比下降4%至30%,https://news.10jqka.com.cn/m610745840/,1554820402,新闻,,"50003159_乐心医疗,50005929_业绩下降",300562,乐心医疗,医疗器械
国家药监局调整医疗器械临床试验审批程序,https://news.10jqka.com.cn/m610607134/,1554121650,新闻,中性,50005123_医疗器械,300562,乐心医疗,医疗器械
研报精选：业绩快速释放 一季度净利润预增翻倍 医疗器械龙头步入快车道,https://news.10jqka.com.cn/m610592563/,1554098142,新闻,中性,50005123_医疗器械,300562,乐心医疗,医疗器械
