title,url,label_property,code,company,article
宝威控股中期股东应占盈利同比降65.5%至4280万港元,https://news.10jqka.com.cn/m606772350/,利空,HK0024,宝威控股,"<p>集团在2017年坚定转型，从获取市场紧缺的锂矿资源入手，进入相关产品的采购、物流、加工和销售，而这一业务模式又是集团经营团队以往长期进口<a data-code=""i9999"" data-marketid=""66"" data-position=""stock.4"" href=""#*f:i9999:sc*#"">铁矿</a>石并加工成相关产品销售的所长和优势。目前，集团已经贯通了锂电材料的上、中游产业链，成为目前香港上市公司中唯一既占有上游锂资源，又能够通过合营公司加工中游锂电材料的公司。</p>"
宝威控股预期中期业绩将扭亏为盈,https://news.10jqka.com.cn/m606292661/,利好,HK0024,宝威控股,
宝威控股(00024.HK)宝江锂业碳酸锂生产线将进入试生产阶段,https://news.10jqka.com.cn/m605448687/,利好,HK0024,宝威控股,
宝威控股(00024)：宝江锂业碳酸锂生产线最快将于7月底进入试生产阶段,https://news.10jqka.com.cn/m605446255/,利好,HK0024,宝威控股,
宝威控股(00024.HK)：巴尔德山锂矿储量增加 105%,https://news.10jqka.com.cn/m604951247/,利好,HK0024,宝威控股,<p>随着勘探工作的逐步推进，资源量还会有持续增长潜力。计划于2018年底进行进一步的储量/资源升级。</p><p>于2017年4月20日，宝威锂业与Lithco、AMAL及Tawana分别签订独家锂精矿包销合约。根据该合约，宝威锂业获得西澳大利亚巴尔德山所出产的锂精矿为期五年的独家包销及续后五年优先购买的权利。</p>
宝威控股(00024)拟向同方证券及海通等发行不超1300万美元可换股债,https://news.10jqka.com.cn/m603518998/,利好,HK0024,宝威控股,<p>Fund发行本金合计不超过1300万美元可换股债券。</p><p>换股价每股0.32港元，较当日收市价0.355港元折让约9.86%;获悉数兑换，可发行约3.17亿股换股股份，占公司现已发行股本的6.37%，及经扩大后公司已发行股本的5.98%。</p><p>所得款项净额约9937.2万港元，计划用作一般营运资本，特别是锂电池上游资源的锂精粉包销、物流、加工直至完成销售各环节必要的支出。</p>
宝威控股(00024.HK)正与多间第三方机构磋商有关发行公司债券或股份的交易,https://news.10jqka.com.cn/m603480204/,利好,HK0024,宝威控股,
其士国际拟1.87亿港元出售香港观塘物业,https://news.10jqka.com.cn/m610188463/,中性,HK0025,CHEVALIER INT'L,<p>据观点地产新媒体了解，期权授予富恩(或其代理人)一项权利(惟并非责任)，可要求Willowridge以按购买价向富恩出售目标公司的全部已发行股本及销售贷款(目标公司结欠所有贷款)。期权价格2805万港元。</p><p>于完成时就购买销售股份及销售贷款应付购买价港币1.59亿元(有待最终调整)。</p><p>公告显示，目标公司新升置业有限公司持有物业位于香港九龙观塘怡生工业中心A座地下及B座地下的物业，连同怡生工业中心地下第23及24号停车位。注册成立日期2017年1月27日至2018年3月31日期间，目标公司录得除税前及除税后纯利约港币906.6万元，主要由于物业公允值上升约港币960万元所致。</p><p>其士国际表示，完成买卖后，估计公司将变现出售收益约港币5180万元，董事会拟将买卖所得款项净额应用于集团一般营运资金及集团现有主要业务营运。</p>
其士国际授出新升置业全部股权的期权 拟出售香港九龙观物业,https://news.10jqka.com.cn/m610185168/,中性,HK0025,CHEVALIER INT'L,<p>根据期权协议，Willowridge经考虑期权价后同意授予富恩期权。期权授予富恩(或其代理人)一项权利(但并非责任)，可要求Willowridge、公司与目标公司订立买卖协议以按购买价向富恩出售销售股份及销售贷款。</p><p>于签署期权协议前已付期权订金935万港元，于签署期权协议时就授出有关期权应付期权价2805万港元的余额，于完成时就购买销售股份及销售贷款应付购买价港币1.59亿港元，富恩已于签署期权协议后向Willowridge支付期权价余额1870万港元。</p><p>根据期权协议的条款，富恩有权透过于行使日期向Willowridge发出书面通知行使期权，而于2019年6月12日(或订约方可能书面同意的其他日期)，富恩应与Willowridge、公司及目标公司订立买卖协议。</p><p>据悉，该销售股份为目标公司全部股权，该目标公司为新升置业有限公司，为一间持有该物业的物业控股公司。该物业位于香港九龙观塘怡生工业中心A座地下及B座地下的物业，连同怡生工业中心地下第23及24号停车位。</p><p>自注册成立日期2017年1月27日至2018年3月31日期间，目标公司取得除税前及除税后纯利约港币906.6万元，主要由于物业公允值上升约960万港元所致。于2018年4月1日至2019年2月28日期间，目标公司取得除税前及除税后净亏损约40.8万港元，主要由于行政费用开支。</p><p>该公司表示，由于该集团是在1979年及1980年收购该物业，董事会有意变现出售物业自收购以来的增值所得收益。完成买卖后，估计该公司将变现出售收益约5180万港元。</p>
CHEVALIER INT‘L获准延长委任独立非执行董事时限,https://news.10jqka.com.cn/m609243753/,中性,HK0025,CHEVALIER INT'L,<p>智通财经APP讯，CHEVALIER INT'L(00025)公布，该公司已向香港联合交易所有限公司申请豁免严格遵守联交所证券上市规则第3.10A条、第3.21条及第3.25条，并将委任独立非执行董事的时限由2019年1月12日起延期3个月。于2019年1月15日，联交所已同意延长豁免有关遵守上市规则第3.10A条、第3.21条及第3.25条的期限由2019年1月12日至2019年4月12日。<br/></p>
